2005062303	2005062509	60	55	3
ID	Á÷Á¿	°ÓÖ·	ÁªÐÇ	·ãÄ¾‰i
1	23.07 	0	0	1
2	23.06 	0	5	0
3	23.05 	2	13	4
4	69.17 	27	42	20
5	230.57 	87	51	47
6	297.27 	32	17	21
7	182.06 	7	7	5
8	114.48 	3	2	2
9	20.13 	9	13	15
10	209.81 	13	13	9
11	127.16 	10	19	9
12	127.18 	9	5	6
13	103.56 	8	4	2
14	91.76 	2	1	0
15	68.16 	0	0	0
16	68.17 	0	0	0
17	68.16 	0	0	0
18	56.28 	0	0	0
19	44.50 	0	0	0
20	56.33 	0	0	0
21	56.41 	0	0	0
22	53.21 	0	0	0
23	55.80 	0	0	0
24	37.44 	0	0	0
25	62.39 	0	0	0
26	49.99 	0	0	0
27	37.48 	0	0	0
28	49.98 	0	0	0
29	37.49 	0	0	0
30	58.99 	0	0	0
31	33.99 	0	0	0
32	46.48 	0	1	0
33	46.48 	0	0	0
34	33.97 	0	0	0
35	71.49 	25	32	20
36	108.99 	17	11	8
37	83.99 	1	0	1
38	72.39 	0	0	0
39	47.39 	0	0	0
40	59.90 	0	0	0
41	47.39 	0	0	0
42	34.88 	0	0	0
43	47.39 	0	0	0
44	47.44 	0	0	0
45	34.90 	0	1	0
46	37.54 	0	0	0
47	25.03 	0	1	1
48	25.04 	0	0	0
49	37.57 	0	0	0
50	25.06 	0	0	0
51	25.04 	0	0	0
52	25.06 	0	0	0
53	38.06 	0	0	0
54	22.56 	1	0	0
55	47.96 	0	0	0
